ENSG,Symbol
ENSG00000264112,AC015813.1
ENSG00000245532,NEAT1
ENSG00000251562,MALAT1
ENSG00000261786,AC006058.1
ENSG00000267519,AC020916.1
ENSG00000215252,GOLGA8B
ENSG00000091136,LAMB1
ENSG00000166598,HSP90B1
ENSG00000173209,AHSA2P
ENSG00000232931,LINC00342
ENSG00000198695,MT-ND6
ENSG00000090863,GLG1
ENSG00000213903,LTB4R
ENSG00000062716,VMP1
ENSG00000204149,AGAP6
ENSG00000277701,AC159540.2
ENSG00000114270,COL7A1
ENSG00000138829,FBN2
ENSG00000083857,FAT1
ENSG00000228526,MIR34AHG
ENSG00000269929,AL158152.1
ENSG00000134871,COL4A2
ENSG00000172037,LAMB2
ENSG00000188157,AGRN
ENSG00000187498,COL4A1
ENSG00000214548,MEG3
ENSG00000244879,GABPB1-AS1
ENSG00000125844,RRBP1
ENSG00000188933,USP32P1
ENSG00000137801,THBS1
ENSG00000101104,PABPC1L
ENSG00000163728,TTC14
ENSG00000197081,IGF2R
ENSG00000273038,AL365203.2
ENSG00000266086,AC015813.2
ENSG00000197694,SPTAN1
ENSG00000198804,MT-CO1
ENSG00000130635,COL5A1
ENSG00000134294,SLC38A2
ENSG00000117335,CD46
ENSG00000188153,COL4A5
ENSG00000198727,MT-CYB
ENSG00000108582,CPD
ENSG00000146648,EGFR
ENSG00000160781,PAQR6
ENSG00000127914,AKAP9
ENSG00000111897,SERINC1
ENSG00000197746,PSAP
ENSG00000145495,MARCH6
ENSG00000167615,LENG8
ENSG00000198848,CES1
ENSG00000044574,HSPA5
ENSG00000262580,AC087741.1
ENSG00000102595,UGGT2
ENSG00000142798,HSPG2
ENSG00000101384,JAG1
ENSG00000135862,LAMC1
ENSG00000233237,LINC00472
ENSG00000142192,APP
ENSG00000182871,COL18A1
ENSG00000204262,COL5A2
ENSG00000121716,PILRB
ENSG00000198786,MT-ND5
ENSG00000138448,ITGAV
ENSG00000271533,Z83843.1
ENSG00000115414,FN1
ENSG00000151914,DST
ENSG00000011426,ANLN
ENSG00000127463,EMC1
ENSG00000108588,CCDC47
ENSG00000230551,AC021078.1
ENSG00000185164,NOMO2
ENSG00000150093,ITGB1
ENSG00000136068,FLNB
ENSG00000197565,COL4A6
ENSG00000011028,AC080038.1
ENSG00000164073,MFSD8
ENSG00000035403,VCL
ENSG00000152952,PLOD2
ENSG00000074695,LMAN1
ENSG00000114857,NKTR
ENSG00000165282,PIGO
ENSG00000023839,ABCC2
ENSG00000127415,IDUA
ENSG00000145623,OSMR
ENSG00000108679,LGALS3BP
ENSG00000230590,FTX
ENSG00000139641,ESYT1
ENSG00000281207,SLFNL1-AS1
ENSG00000153214,TMEM87B
ENSG00000084234,APLP2
ENSG00000155380,SLC16A1
ENSG00000270069,MIR222HG
ENSG00000135506,OS9
ENSG00000196878,LAMB3
ENSG00000134910,STT3A
ENSG00000142156,COL6A1
ENSG00000258727,AL135999.1
ENSG00000131389,SLC6A6
ENSG00000198743,SLC5A3
ENSG00000137845,ADAM10
ENSG00000230373,GOLGA6L5P
ENSG00000221978,CCNL2
ENSG00000107789,MINPP1
ENSG00000156535,CD109
ENSG00000182220,ATP6AP2
ENSG00000182985,CADM1
ENSG00000155304,HSPA13
ENSG00000167004,PDIA3
ENSG00000072042,RDH11
ENSG00000102287,GABRE
ENSG00000134250,NOTCH2
ENSG00000026036,RTEL1-TNFRSF6B
ENSG00000075213,SEMA3A
ENSG00000117385,P3H1
ENSG00000163660,CCNL1
ENSG00000125304,TM9SF2
ENSG00000126777,KTN1
ENSG00000283486,FAM95C
ENSG00000125730,C3
ENSG00000118785,SPP1
ENSG00000123983,ACSL3
ENSG00000072274,TFRC
ENSG00000072682,P4HA2
ENSG00000071537,SEL1L
ENSG00000154305,MIA3
ENSG00000099250,NRP1
ENSG00000154265,ABCA5
ENSG00000143512,HHIPL2
ENSG00000120708,TGFBI
ENSG00000073605,GSDMB
ENSG00000033867,SLC4A7
ENSG00000167524,RSKR
ENSG00000049323,LTBP1
ENSG00000139631,CSAD
