ensembl_gene_id,Symbol,Biotype
ENSG00000000971,CFH,protein_coding
ENSG00000001036,FUCA2,protein_coding
ENSG00000001561,ENPP4,protein_coding
ENSG00000003436,TFPI,protein_coding
ENSG00000005108,THSD7A,protein_coding
ENSG00000005206,SPPL2B,protein_coding
ENSG00000005801,ZNF195,protein_coding
ENSG00000005884,ITGA3,protein_coding
ENSG00000005893,LAMP2,protein_coding
ENSG00000006071,ABCC8,protein_coding
ENSG00000007402,CACNA2D2,protein_coding
ENSG00000008300,CELSR3,protein_coding
ENSG00000010278,CD9,protein_coding
ENSG00000010310,GIPR,protein_coding
ENSG00000010704,HFE,protein_coding
ENSG00000011021,CLCN6,protein_coding
ENSG00000011028,MRC2,protein_coding
ENSG00000011426,ANLN,protein_coding
ENSG00000012171,SEMA3B,protein_coding
ENSG00000013288,MAN2B2,protein_coding
ENSG00000013588,GPRC5A,protein_coding
ENSG00000014123,UFL1,protein_coding
ENSG00000015532,XYLT2,protein_coding
ENSG00000015568,RGPD5,protein_coding
ENSG00000018236,CNTN1,protein_coding
ENSG00000021645,NRXN3,protein_coding
ENSG00000021826,CPS1,protein_coding
ENSG00000023318,ERP44,protein_coding
ENSG00000023839,ABCC2,protein_coding
ENSG00000026036,RTEL1-TNFRSF6B,protein_coding
ENSG00000026652,AGPAT4,protein_coding
ENSG00000027697,IFNGR1,protein_coding
ENSG00000030582,GRN,protein_coding
ENSG00000033011,ALG1,protein_coding
ENSG00000033627,ATP6V0A1,protein_coding
ENSG00000033867,SLC4A7,protein_coding
ENSG00000035403,VCL,protein_coding
ENSG00000038002,AGA,protein_coding
ENSG00000038427,VCAN,protein_coding
ENSG00000039068,CDH1,protein_coding
ENSG00000042445,RETSAT,protein_coding
ENSG00000044574,HSPA5,protein_coding
ENSG00000046604,DSG2,protein_coding
ENSG00000047410,TPR,protein_coding
ENSG00000047457,CP,protein_coding
ENSG00000049323,LTBP1,protein_coding
ENSG00000049860,HEXB,protein_coding
ENSG00000050344,NFE2L3,protein_coding
ENSG00000050555,LAMC3,protein_coding
ENSG00000052841,TTC17,protein_coding
ENSG00000053747,LAMA3,protein_coding
ENSG00000054654,SYNE2,protein_coding
ENSG00000054690,PLEKHH1,protein_coding
ENSG00000054983,GALC,protein_coding
ENSG00000055732,MCOLN3,protein_coding
ENSG00000055955,ITIH4,protein_coding
ENSG00000056736,IL17RB,protein_coding
ENSG00000057252,SOAT1,protein_coding
ENSG00000058085,LAMC2,protein_coding
ENSG00000058668,ATP2B4,protein_coding
ENSG00000059804,SLC2A3,protein_coding
ENSG00000060718,COL11A1,protein_coding
ENSG00000062370,ZNF112,protein_coding
ENSG00000062716,VMP1,protein_coding
ENSG00000063127,SLC6A16,protein_coding
ENSG00000063660,GPC1,protein_coding
ENSG00000064545,TMEM161A,protein_coding
ENSG00000064601,CTSA,protein_coding
ENSG00000064651,SLC12A2,protein_coding
ENSG00000064687,ABCA7,protein_coding
ENSG00000065665,SEC61A2,protein_coding
ENSG00000066279,ASPM,protein_coding
ENSG00000067141,NEO1,protein_coding
ENSG00000069493,CLEC2D,protein_coding
ENSG00000069696,DRD4,protein_coding
ENSG00000070018,LRP6,protein_coding
ENSG00000070081,NUCB2,protein_coding
ENSG00000070269,TMEM260,protein_coding
ENSG00000070961,ATP2B1,protein_coding
ENSG00000071537,SEL1L,protein_coding
ENSG00000071553,ATP6AP1,protein_coding
ENSG00000071991,CDH19,protein_coding
ENSG00000072042,RDH11,protein_coding
